Unnamed: 0,Price,Size,Bed,Bath,Location
53,3800000,850.0,2,2,Adabor
54,3500000,750.0,2,2,Adabor
55,3500000,750.0,2,2,Adabor
57,3800000,850.0,2,2,Adabor
128,6700000,1115.0,3,3,Adabor
263,6250000,1200.0,3,3,Adabor
264,6250000,1200.0,3,3,Adabor
268,6250000,1200.0,3,3,Adabor
460,9100000,1490.0,3,3,Adabor
467,7000000,1196.0,3,3,Adabor
476,9100000,1490.0,3,3,Adabor
481,9100000,1490.0,3,3,Adabor
589,8200000,1270.0,3,3,Adabor
646,8761000,1123.0,3,3,Adabor
653,15656000,2108.0,3,3,Adabor
656,9419000,1217.0,3,2,Adabor
657,9419000,1217.0,3,2,Adabor
953,5500000,950.0,2,2,Adabor
954,6000000,950.0,2,2,Adabor
955,5000000,920.0,2,2,Adabor
1280,8600000,1300.0,3,3,Adabor
1292,8900000,1578.0,4,4,Adabor
1355,7700000,1375.0,3,3,Adabor
1356,6700000,1188.0,3,3,Adabor
1357,7900000,1421.0,3,3,Adabor
1358,6850000,1220.0,3,3,Adabor
1359,7850000,1405.0,3,3,Adabor
1416,6850000,1300.0,3,3,Adabor
1441,7850000,1405.0,3,3,Adabor
1456,17000000,2875.0,5,5,Adabor
1460,9300000,1550.0,3,3,Adabor
1481,6350000,1200.0,3,3,Adabor
1483,13200000,2600.0,4,4,Adabor
1485,6850000,1300.0,3,3,Adabor
1519,6700000,1125.0,3,3,Adabor
1521,6500000,1100.0,3,3,Adabor
1742,7685000,1450.0,3,3,Adabor
1743,7685000,1450.0,3,3,Adabor
1744,7685000,1450.0,3,3,Adabor
1745,8450000,1400.0,3,3,Adabor
1797,10075000,1550.0,3,3,Adabor
1975,12900000,1720.0,3,3,Adabor
1976,12900000,1720.0,3,3,Adabor
1977,12165000,1622.0,3,3,Adabor
1978,12165000,1622.0,3,3,Adabor
1979,8300000,1350.0,3,3,Adabor
2010,7000000,1250.0,3,3,Adabor
2057,14000000,2500.0,4,4,Adabor
2058,7000000,1250.0,3,3,Adabor
2064,5200000,950.0,2,2,Adabor
2066,5000000,900.0,2,2,Adabor
2070,10500000,1850.0,4,4,Adabor
2259,4602150,965.0,3,2,Adabor
2298,8000000,1400.0,3,3,Adabor
2327,5580000,1240.0,3,3,Adabor
2331,7150000,1300.0,3,3,Adabor
2332,7425000,1350.0,3,3,Adabor
2380,6409000,1105.0,3,3,Adabor
3016,7900000,1350.0,3,3,Adabor
3017,9800000,1480.0,3,3,Adabor
3305,5000000,1140.0,3,2,Adabor
3437,8400000,1400.0,3,3,Adabor
3456,4500000,900.0,3,2,Adabor
3514,11200000,1750.0,3,4,Adabor
3515,8088000,1348.0,3,3,Adabor
3516,8543400,1473.0,3,3,Adabor
3518,7818400,1348.0,3,3,Adabor
3519,8101500,1473.0,3,3,Adabor
3571,6500000,1175.0,3,2,Adabor
3708,8190000,1300.0,3,3,Adabor
3711,8190000,1300.0,3,3,Adabor
3712,8032500,1275.0,3,3,Adabor
3739,9880000,1520.0,3,3,Adabor
3744,7000000,1050.0,3,3,Adabor
3800,9232600,1378.0,3,3,Adabor
3860,9880000,1520.0,3,3,Adabor
3948,6500000,935.0,2,2,Adabor
4096,11200000,1750.0,3,4,Adabor
4097,11200000,1750.0,3,4,Adabor
4102,7200000,1028.0,2,2,Adabor
4103,7300000,1053.0,2,2,Adabor
4151,8700000,1467.0,3,3,Adabor
4400,6200000,1050.0,2,3,Adabor
4515,7500000,1500.0,4,4,Adabor
4516,7500000,1500.0,4,4,Adabor
4582,3900000,875.0,2,2,Adabor
7,9300000,1450.0,3,3,Adabor
13,12200000,1600.0,3,3,Adabor
26,5700000,1310.0,3,3,Adabor
62,4900000,840.0,3,2,Adabor
71,5575000,1075.0,3,2,Adabor
97,3800000,750.0,2,2,Adabor
147,6500000,1005.0,3,3,Adabor
206,11200000,1550.0,3,3,Adabor
324,13200000,1778.0,3,3,Adabor
374,5500000,1050.0,3,2,Adabor
406,9319000,1217.0,2,3,Adabor
437,13200000,1778.0,3,3,Adabor
443,13200000,1778.0,3,3,Adabor
482,3800000,750.0,2,2,Adabor
483,3800000,750.0,2,2,Adabor
510,9300000,1550.0,3,3,Adabor
616,13200000,1912.0,3,3,Adabor
645,13200000,1900.0,3,3,Adabor
646,13200000,1900.0,3,3,Adabor
647,11200000,1600.0,3,3,Adabor
648,11200000,1600.0,3,3,Adabor
661,9300000,1475.0,3,3,Adabor
678,10200000,1438.0,3,3,Adabor
745,11200000,1600.0,3,3,Adabor
754,9300000,1600.0,3,3,Adabor
755,9300000,1600.0,3,3,Adabor
756,9300000,1600.0,3,3,Adabor
776,13200000,1912.0,3,3,Adabor
778,5800000,1030.0,3,3,Adabor
811,9300000,1550.0,3,3,Adabor
1008,8450000,1400.0,3,3,Adabor
1091,6800000,1105.0,3,3,Adabor
1244,6500000,1250.0,3,3,Adabor
1285,7300000,1350.0,3,3,Adabor
1407,6900000,1090.0,3,2,Adabor
1440,17000000,2875.0,5,5,Adabor
1446,6500000,1250.0,3,3,Adabor
1447,7300000,1350.0,3,3,Adabor
1471,11000000,1532.0,3,3,Adabor
1496,8000000,1480.0,3,3,Adabor
1500,5500000,1000.0,3,2,Adabor
1543,7200000,1250.0,3,3,Adabor
1569,7500000,1324.0,3,3,Adabor
1580,7500000,1324.0,3,3,Adabor
1683,8700000,1467.0,3,3,Adabor
1686,8200000,1500.0,3,4,Adabor
1757,8200000,1500.0,3,4,Adabor
1804,3800000,700.0,2,2,Adabor
1839,5575000,1075.0,3,2,Adabor
2114,4000000,950.0,2,2,Adabor
2122,6480000,1080.0,3,2,Adabor
2201,10000000,1550.0,3,3,Adabor
2411,6659999,1110.0,3,2,Adabor
2414,8800000,1450.0,3,4,Adabor
2517,6659999,1110.0,3,2,Adabor
2583,5000000,980.0,3,2,Adabor
2605,6480000,1080.0,3,2,Adabor
2706,6800000,1040.0,2,2,Adabor
2723,6500000,1339.0,4,3,Adabor
2734,10800000,1530.0,4,3,Adabor
2746,9000000,1400.0,3,3,Adabor
2752,6000000,910.0,2,2,Adabor
2780,7600000,1170.0,3,3,Adabor
2804,10800000,1530.0,4,3,Adabor
2951,7200000,1250.0,3,3,Adabor
2989,9850000,1550.0,3,3,Adabor
3004,10800000,1530.0,4,3,Adabor
3102,9400000,1350.0,3,3,Adabor
3449,6200000,800.0,2,2,Adabor
3462,6300000,1400.0,3,3,Adabor
3466,6200000,800.0,2,2,Adabor
3603,6250000,1250.0,3,3,Adabor
3604,5330000,1050.0,3,2,Adabor
3651,9950000,1450.0,3,3,Adabor
3672,5330000,1050.0,3,2,Adabor
3673,5700000,1000.0,2,2,Adabor
3674,5330000,1050.0,3,2,Adabor
3686,4200000,800.0,2,2,Adabor
3770,9100000,1350.0,3,3,Adabor
3771,10300000,1550.0,3,3,Adabor
3936,8250000,1375.0,3,3,Adabor
3969,9950000,1480.0,3,3,Adabor
3970,9950000,1480.0,3,3,Adabor
4005,10500000,1500.0,3,3,Adabor
4006,8500000,1421.0,3,3,Adabor
4007,7381999,1220.0,3,3,Adabor
4008,8250000,1375.0,3,3,Adabor
4009,7158000,1188.0,3,3,Adabor
4010,7158000,1188.0,3,3,Adabor
4233,9950000,1480.0,3,3,Adabor
4399,6938000,1110.0,3,2,Adabor
4400,6656000,1080.0,3,2,Adabor
4401,6938000,1110.0,3,2,Adabor
4402,6656000,1080.0,3,2,Adabor
4567,8500000,1425.0,3,3,Adabor
4754,8700000,1450.0,3,3,Adabor
4755,8700000,1450.0,3,3,Adabor
4756,8700000,1450.0,3,3,Adabor
4757,8700000,1450.0,3,3,Adabor
4761,8300000,1430.0,3,3,Adabor
4762,8200000,1430.0,3,3,Adabor
4862,10500000,1500.0,3,3,Adabor
4863,10500000,1500.0,3,3,Adabor
4902,8700000,1450.0,3,3,Adabor
4934,11000000,1550.0,3,3,Adabor
4962,4400000,800.0,2,2,Adabor
4963,4400000,800.0,2,2,Adabor
4964,4400000,800.0,2,2,Adabor
4965,4400000,800.0,2,2,Adabor
4966,4400000,800.0,2,2,Adabor
4967,4400000,800.0,2,2,Adabor
4968,4400000,800.0,2,2,Adabor
4969,4400000,800.0,2,2,Adabor
4971,4400000,800.0,2,2,Adabor
4972,4400000,800.0,2,2,Adabor
4973,4400000,800.0,2,2,Adabor
4974,4400000,800.0,2,2,Adabor
5029,8700000,1450.0,3,3,Adabor
5067,8000000,1680.0,3,3,Adabor
5070,8500000,1305.0,3,3,Adabor
5177,6500000,1450.0,3,3,Adabor
5183,7500000,1450.0,3,3,Adabor
5235,8500000,1500.0,3,3,Adabor
5315,6500000,1200.0,3,3,Adabor
5332,9500000,1550.0,3,3,Adabor
5333,7859999,1310.0,3,3,Adabor
5377,6500000,1030.0,3,3,Adabor
5436,9500000,1480.0,3,3,Adabor
5515,6500000,1200.0,3,3,Adabor
5520,8000000,1300.0,3,3,Adabor
5562,5700000,1000.0,2,2,Adabor
5613,4000000,915.0,2,2,Adabor
5651,9450000,1572.0,3,3,Adabor
5675,6000000,1000.0,2,2,Adabor
5685,7500000,1300.0,3,3,Adabor
5860,8200000,1270.0,3,3,Adabor
5887,7975000,1150.0,3,3,Adabor
5888,7975000,1150.0,3,3,Adabor
5889,7975000,1150.0,3,3,Adabor
5890,7975000,1150.0,3,3,Adabor
5892,7975000,1150.0,3,3,Adabor
5893,7975000,1150.0,3,3,Adabor
5894,7975000,1150.0,3,3,Adabor
5895,7975000,1150.0,3,3,Adabor
5898,8500000,1415.0,3,3,Adabor
5956,7975000,1150.0,3,3,Adabor
6003,5500000,950.0,2,2,Adabor
6004,6000000,950.0,2,2,Adabor
6005,5000000,920.0,2,2,Adabor
6018,7700000,1375.0,3,3,Adabor
6019,7900000,1421.0,3,3,Adabor
6020,6850000,1220.0,3,3,Adabor
6044,7975000,1150.0,3,3,Adabor
6045,7975000,1150.0,3,3,Adabor
6046,7975000,1150.0,3,3,Adabor
6047,7975000,1150.0,3,3,Adabor
6048,7975000,1150.0,3,3,Adabor
6204,6700000,1188.0,3,3,Adabor
6205,7850000,1405.0,3,3,Adabor
6377,7850000,1405.0,3,3,Adabor
6727,3800000,850.0,2,2,Adabor
6728,3500000,750.0,2,2,Adabor
6729,3500000,750.0,2,2,Adabor
6730,3800000,850.0,2,2,Adabor
